minority_position,ratio,model_id,strategy,layout_index,distribution_request_assigned,outcome,n_conditions_total,n_conditions_analyzed,n_event,rate,rate_percent,ci95_low,ci95_high,ci95_low_percent,ci95_high_percent
last,4:1,deepseek/deepseek-v4-flash,standard,1,0.0,is_com,3,3,0,0.0,0.0,0.0,0.561497031755032,0.0,56.1497031755032
last,4:1,deepseek/deepseek-v4-flash,standard,1,1.0,is_com,8,8,0,0.0,0.0,0.0,0.3244075648838681,0.0,32.44075648838681
last,4:1,gemini-3.5-flash,standard,1,0.0,is_com,3,3,0,0.0,0.0,0.0,0.561497031755032,0.0,56.1497031755032
last,4:1,gemini-3.5-flash,standard,1,1.0,is_com,8,8,0,0.0,0.0,0.0,0.3244075648838681,0.0,32.44075648838681
middle,2:1,anthropic/claude-haiku-4.5,standard,1,0.0,is_com,14,14,0,0.0,0.0,0.0,0.2153108027376265,0.0,21.53108027376265
middle,2:1,anthropic/claude-haiku-4.5,standard,1,1.0,is_com,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
middle,2:1,deepseek/deepseek-v4-flash,standard,1,0.0,is_com,14,14,0,0.0,0.0,0.0,0.2153108027376265,0.0,21.53108027376265
middle,2:1,deepseek/deepseek-v4-flash,standard,1,1.0,is_com,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
middle,2:1,gemini-3.5-flash,standard,1,0.0,is_com,14,14,8,0.5714285714285714,57.142857142857146,0.3259064457965131,0.7861920109552545,32.59064457965131,78.61920109552545
middle,2:1,gemini-3.5-flash,standard,1,1.0,is_com,15,15,1,0.06666666666666667,6.666666666666667,0.011866895493268997,0.29816529873779196,1.1866895493268999,29.816529873779196
middle,3:1,anthropic/claude-haiku-4.5,standard,1,0.0,is_com,18,18,0,0.0,0.0,0.0,0.17587922364664965,0.0,17.587922364664966
middle,3:1,anthropic/claude-haiku-4.5,standard,1,1.0,is_com,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
middle,3:1,deepseek/deepseek-v4-flash,standard,1,0.0,is_com,18,18,0,0.0,0.0,0.0,0.17587922364664965,0.0,17.587922364664966
middle,3:1,deepseek/deepseek-v4-flash,standard,1,1.0,is_com,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
middle,3:1,gemini-3.5-flash,standard,1,0.0,is_com,18,18,2,0.1111111111111111,11.11111111111111,0.031019522645613362,0.3279976513017808,3.101952264561336,32.79976513017808
middle,3:1,gemini-3.5-flash,standard,1,1.0,is_com,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
middle,4:1,anthropic/claude-haiku-4.5,standard,1,0.0,is_com,24,24,0,0.0,0.0,0.0,0.13797620467497365,0.0,13.797620467497365
middle,4:1,anthropic/claude-haiku-4.5,standard,1,1.0,is_com,25,25,0,0.0,0.0,0.0,0.13319225093904213,0.0,13.319225093904214
middle,4:1,deepseek/deepseek-v4-flash,standard,1,0.0,is_com,24,24,0,0.0,0.0,0.0,0.13797620467497365,0.0,13.797620467497365
middle,4:1,deepseek/deepseek-v4-flash,standard,1,1.0,is_com,25,25,0,0.0,0.0,0.0,0.13319225093904213,0.0,13.319225093904214
middle,4:1,gemini-3.5-flash,standard,1,0.0,is_com,24,24,0,0.0,0.0,0.0,0.13797620467497365,0.0,13.797620467497365
middle,4:1,gemini-3.5-flash,standard,1,1.0,is_com,25,25,0,0.0,0.0,0.0,0.13319225093904213,0.0,13.319225093904214
first,2:1,anthropic/claude-haiku-4.5,standard,1,0.0,is_flag,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
first,2:1,anthropic/claude-haiku-4.5,standard,1,1.0,is_flag,10,10,0,0.0,0.0,2.7755575615628914e-17,0.27753279986287815,2.7755575615628914e-15,27.753279986287815
first,2:1,deepseek/deepseek-v4-flash,standard,1,0.0,is_flag,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
first,2:1,deepseek/deepseek-v4-flash,standard,1,1.0,is_flag,10,10,0,0.0,0.0,2.7755575615628914e-17,0.27753279986287815,2.7755575615628914e-15,27.753279986287815
first,2:1,gemini-3.5-flash,standard,1,0.0,is_flag,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
first,2:1,gemini-3.5-flash,standard,1,1.0,is_flag,10,9,1,0.1111111111111111,11.11111111111111,0.019890887638545657,0.43499970557664625,1.9890887638545656,43.499970557664625
first,3:1,anthropic/claude-haiku-4.5,standard,1,0.0,is_flag,9,9,0,0.0,0.0,0.0,0.2991450484195325,0.0,29.91450484195325
first,3:1,anthropic/claude-haiku-4.5,standard,1,1.0,is_flag,13,13,0,0.0,0.0,0.0,0.22809537235418867,0.0,22.809537235418865
first,3:1,deepseek/deepseek-v4-flash,standard,1,0.0,is_flag,9,9,0,0.0,0.0,0.0,0.2991450484195325,0.0,29.91450484195325
first,3:1,deepseek/deepseek-v4-flash,standard,1,1.0,is_flag,13,13,0,0.0,0.0,0.0,0.22809537235418867,0.0,22.809537235418865
first,3:1,gemini-3.5-flash,standard,1,0.0,is_flag,9,9,0,0.0,0.0,0.0,0.2991450484195325,0.0,29.91450484195325
