model_id,ratio,strategy,layout_index,outcome,n_answer_only,events_answer_only,rate_answer_only,rate_answer_only_percent,n_requested,events_requested,rate_requested,rate_requested_percent,absolute_difference,difference_percentage_points,ci95_low,ci95_high,ci95_low_percentage_points,ci95_high_percentage_points,ci_method,estimand_role
gemini-3.5-flash,2:2,standard,1,is_com,37,37,1.0,100.0,38,2,0.05263157894736842,5.263157894736842,-0.9473684210526316,-94.73684210526316,-0.9854457918527072,-0.7947235570119473,-98.54457918527072,-79.47235570119473,Newcombe hybrid score interval for two independent proportions,secondary
gemini-3.5-flash,3:1,standard,1,is_com,37,4,0.10810810810810811,10.81081081081081,37,0,0.0,0.0,-0.10810810810810811,-10.81081081081081,-0.24708531544125548,0.006370044286310106,-24.70853154412555,0.6370044286310106,Newcombe hybrid score interval for two independent proportions,secondary
gemini-3.5-flash,3:2,standard,1,is_com,37,23,0.6216216216216216,62.16216216216216,38,2,0.05263157894736842,5.263157894736842,-0.5689900426742531,-56.89900426742531,-0.7118947287969803,-0.3683622716385335,-71.18947287969803,-36.83622716385335,Newcombe hybrid score interval for two independent proportions,secondary
gemini-3.5-flash,4:1,standard,1,is_com,37,0,0.0,0.0,38,0,0.0,0.0,0.0,0.0,-0.09405782583719778,0.09180986822557935,-9.405782583719779,9.180986822557935,Newcombe hybrid score interval for two independent proportions,secondary
anthropic/claude-haiku-4.5,2:1,standard,1,is_flag_or_com,37,3,0.08108108108108109,8.108108108108109,38,0,0.0,0.0,-0.08108108108108109,-8.108108108108109,-0.21300679349287915,0.02498889660100226,-21.300679349287915,2.4988896601002257,Newcombe hybrid score interval for two independent proportions,secondary
anthropic/claude-haiku-4.5,2:2,standard,1,is_flag_or_com,33,7,0.21212121212121213,21.21212121212121,36,7,0.19444444444444445,19.444444444444446,-0.01767676767676768,-1.767676767676768,-0.20937394887787583,0.17043435380155592,-20.937394887787583,17.043435380155593,Newcombe hybrid score interval for two independent proportions,secondary
anthropic/claude-haiku-4.5,3:1,standard,1,is_flag_or_com,37,0,0.0,0.0,38,0,0.0,0.0,0.0,0.0,-0.09405782583719778,0.09180986822557935,-9.405782583719779,9.180986822557935,Newcombe hybrid score interval for two independent proportions,secondary
anthropic/claude-haiku-4.5,3:2,standard,1,is_flag_or_com,37,2,0.05405405405405406,5.405405405405405,38,1,0.02631578947368421,2.631578947368421,-0.027738264580369848,-2.773826458036985,-0.1526226119846199,0.08771810460486933,-15.26226119846199,8.771810460486932,Newcombe hybrid score interval for two independent proportions,secondary
anthropic/claude-haiku-4.5,4:1,standard,1,is_flag_or_com,37,0,0.0,0.0,38,0,0.0,0.0,0.0,0.0,-0.09405782583719778,0.09180986822557935,-9.405782583719779,9.180986822557935,Newcombe hybrid score interval for two independent proportions,secondary
deepseek/deepseek-v4-flash,2:1,standard,1,is_flag_or_com,37,0,0.0,0.0,38,0,0.0,0.0,0.0,0.0,-0.09405782583719778,0.09180986822557935,-9.405782583719779,9.180986822557935,Newcombe hybrid score interval for two independent proportions,secondary
deepseek/deepseek-v4-flash,2:2,standard,1,is_flag_or_com,37,0,0.0,0.0,34,13,0.38235294117647056,38.23529411764706,0.38235294117647056,38.23529411764706,0.21089911431228447,0.5495898265556887,21.089911431228447,54.95898265556887,Newcombe hybrid score interval for two independent proportions,secondary
deepseek/deepseek-v4-flash,3:1,standard,1,is_flag_or_com,37,0,0.0,0.0,38,0,0.0,0.0,0.0,0.0,-0.09405782583719778,0.09180986822557935,-9.405782583719779,9.180986822557935,Newcombe hybrid score interval for two independent proportions,secondary
deepseek/deepseek-v4-flash,3:2,standard,1,is_flag_or_com,37,0,0.0,0.0,38,1,0.02631578947368421,2.631578947368421,0.02631578947368421,2.631578947368421,-0.07020271841830486,0.13494876115951676,-7.020271841830486,13.494876115951676,Newcombe hybrid score interval for two independent proportions,secondary
deepseek/deepseek-v4-flash,4:1,standard,1,is_flag_or_com,37,0,0.0,0.0,38,0,0.0,0.0,0.0,0.0,-0.09405782583719778,0.09180986822557935,-9.405782583719779,9.180986822557935,Newcombe hybrid score interval for two independent proportions,secondary
gemini-3.5-flash,2:1,standard,1,is_flag_or_com,37,25,0.6756756756756757,67.56756756756756,37,9,0.24324324324324326,24.324324324324326,-0.4324324324324324,-43.24324324324324,-0.6009570265847618,-0.20687679904290757,-60.09570265847618,-20.687679904290757,Newcombe hybrid score interval for two independent proportions,secondary
gemini-3.5-flash,2:2,standard,1,is_flag_or_com,37,37,1.0,100.0,38,38,1.0,100.0,0.0,0.0,-0.09180986822557946,0.0940578258371979,-9.180986822557946,9.405782583719791,Newcombe hybrid score interval for two independent proportions,secondary
gemini-3.5-flash,3:1,standard,1,is_flag_or_com,37,4,0.10810810810810811,10.81081081081081,37,0,0.0,0.0,-0.10810810810810811,-10.81081081081081,-0.24708531544125548,0.006370044286310106,-24.70853154412555,0.6370044286310106,Newcombe hybrid score interval for two independent proportions,secondary
gemini-3.5-flash,3:2,standard,1,is_flag_or_com,37,23,0.6216216216216216,62.16216216216216,38,9,0.23684210526315788,23.684210526315788,-0.38477951635846375,-38.477951635846374,-0.5591370503997031,-0.16141201788845572,-55.91370503997031,-16.14120178884557,Newcombe hybrid score interval for two independent proportions,secondary
gemini-3.5-flash,4:1,standard,1,is_flag_or_com,37,0,0.0,0.0,38,0,0.0,0.0,0.0,0.0,-0.09405782583719778,0.09180986822557935,-9.405782583719779,9.180986822557935,Newcombe hybrid score interval for two independent proportions,secondary
